source_id_ref,canonical_student_id,firestore_document_verified,ui_id_exact_match,persisted_uid_equals_doc_id,persisted_auth_user_id_equals_doc_id,operational_category_observed,classification,current_status_raw,active_flag,current_plan,contract_id,contract_start,contract_end,duration_reported,cancellation_requested_evidence,notice_end_evidence,effective_exit_evidence,suspension_evidence,pedagogical_rows,financial_customer_ref,financial_match_evidence,confidence_evidence,reasons,recommended_action
c7c751042221c78b,,True,True,True,True,UNKNOWN,AMBIGUOUS,ativo,True,,,,,,2026-07-16T03:00:00.000Z,,,False,0,,no_verified_match,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable|missing_plan|operational_eligibility_requires_review,Resolve missing contract evidence and listed conflicts; do not backfill
86792dd292a84eb8,,True,True,True,True,OPERATIONAL_ACTIVE,AMBIGUOUS,ativo,True,Diamond,,,,,,,,False,79,,no_verified_match,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable,Resolve missing contract evidence and listed conflicts; do not backfill
26481f2930055c0b,,True,True,True,True,UNKNOWN,AMBIGUOUS,ativo,True,,,,,,2026-07-16T03:00:00.000Z,,,False,0,,no_verified_match,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable|missing_plan|operational_eligibility_requires_review,Resolve missing contract evidence and listed conflicts; do not backfill
1ee61909e214be19,,True,True,True,True,OPERATIONAL_ACTIVE,AMBIGUOUS,ativo,True,Diamond,,,,,,,,False,60,,no_verified_match,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable,Resolve missing contract evidence and listed conflicts; do not backfill
b8e220d34fe4fdbd,,True,True,True,True,OPERATIONAL_ACTIVE,AMBIGUOUS,ativo,True,,,,,,,,,False,0,,no_verified_match,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable|missing_plan,Resolve missing contract evidence and listed conflicts; do not backfill
cd51e59edeb3667a,,True,True,True,True,OPERATIONAL_ACTIVE,AMBIGUOUS,ativo,True,,,,,,,,,False,0,,no_verified_match,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable|missing_plan,Resolve missing contract evidence and listed conflicts; do not backfill
e5f5d3df0f59873e,,True,True,True,True,OPERATIONAL_ACTIVE,AMBIGUOUS,ativo,True,,,,,,,,,False,0,,no_verified_match,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable|missing_plan,Resolve missing contract evidence and listed conflicts; do not backfill
d4b24c9eba7ef9ea,,True,True,True,True,OPERATIONAL_ACTIVE,AMBIGUOUS,ativo,True,Diamond,,,,,,,,False,60,,no_verified_match,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable,Resolve missing contract evidence and listed conflicts; do not backfill
d2ce605244023369,,True,True,True,True,OPERATIONAL_ACTIVE,AMBIGUOUS,ativo,True,Gold,,,,,,,,False,12,,no_verified_match,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable,Resolve missing contract evidence and listed conflicts; do not backfill
dc3babfa7beb6a78,,True,True,True,True,OPERATIONAL_ACTIVE,AMBIGUOUS,ativo,True,,,,,,,,,False,0,,no_verified_match,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable|missing_plan,Resolve missing contract evidence and listed conflicts; do not backfill
dc34a2be7f67c8bf,,True,True,True,True,OPERATIONAL_ACTIVE,AMBIGUOUS,ativo,True,,,,,,,,,False,0,,no_verified_match,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable|missing_plan,Resolve missing contract evidence and listed conflicts; do not backfill
ce16709de0657586,,True,True,True,True,OPERATIONAL_ACTIVE,AMBIGUOUS,ativo,True,Diamond,,,,,,,,False,61,,no_verified_match,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable,Resolve missing contract evidence and listed conflicts; do not backfill
ffc50df2c1c1a310,,True,True,True,True,OPERATIONAL_ACTIVE,AMBIGUOUS,ativo,True,Diamond,,,,,,,,False,33,,no_verified_match,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable,Resolve missing contract evidence and listed conflicts; do not backfill
b373e615470af524,,True,True,True,True,OPERATIONAL_ACTIVE,AMBIGUOUS,ativo,True,,,,,,,,,False,0,,no_verified_match,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable|missing_plan,Resolve missing contract evidence and listed conflicts; do not backfill
7a9eb452193589f4,,True,True,True,True,OPERATIONAL_ACTIVE,AMBIGUOUS,ativo,True,,,,,,,,,False,0,,no_verified_match,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable|missing_plan,Resolve missing contract evidence and listed conflicts; do not backfill
41535602ca36ca98,,True,True,True,True,OPERATIONAL_ACTIVE,AMBIGUOUS,ativo,True,Diamond,,,,,,,,False,53,42d15e4b3c68efbc,unique_normalized_email_both_sources,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable,Resolve missing contract evidence and listed conflicts; do not backfill
7e1816e8ac5e516a,,True,True,True,True,OPERATIONAL_ACTIVE,AMBIGUOUS,ativo,True,Diamond,,,,,,,,False,55,,no_verified_match,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable,Resolve missing contract evidence and listed conflicts; do not backfill
be8af76e8881c6a5,,True,True,True,True,OPERATIONAL_ACTIVE,AMBIGUOUS,ativo,True,Diamond,,,,,,,,False,55,,no_verified_match,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable,Resolve missing contract evidence and listed conflicts; do not backfill
c1329beeecce8c45,,True,True,True,True,OPERATIONAL_ACTIVE,AMBIGUOUS,ativo,True,,,,,,,,,False,0,,no_verified_match,exact_UI_document_id; explicit_student_role,contract_link_and_critical_dates_unavailable|missing_plan,Resolve missing contract evidence and listed conflicts; do not backfill
